app	version	api	times
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FieldDescriptorProto$Label.values()[Lcom/google/protobuf/DescriptorProtos$FieldDescriptorProto$Label;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.games.GameRef.<init>(Lcom/google/android/gms/common/data/DataHolder;I)V	1
cn.amazon.mShop.android	8.5.0.600	android.webkit.WebView.goForward()V	2
cn.amazon.mShop.android	8.5.0.600	android.view.View.setTransitionName(Ljava/lang/String;)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.gson.internal.$Gson$Types.access$000(Ljava/lang/reflect/Type;)V	3
cn.amazon.mShop.android	8.5.0.600	android.widget.AbsListView.smoothScrollToPosition(II)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.hm$a.<init>(ILandroid/accounts/Account;)V	2
cn.amazon.mShop.android	8.5.0.600	android.support.v7.app.AppCompatDelegate.onStop()V	1
cn.amazon.mShop.android	8.5.0.600	android.net.Uri$Builder.query(Ljava/lang/String;)Landroid/net/Uri$Builder;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.widget.CompoundButtonCompatDonut.setButtonTintList(Landroid/widget/CompoundButton;Landroid/content/res/ColorStateList;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.MapMakerInternalMap.hash(Ljava/lang/Object;)I	8
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.ValueAnimatorCompat$Impl.getAnimatedFraction()F	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.games.PlayerLevel.getMaxXp()J	4
cn.amazon.mShop.android	8.5.0.600	android.os.Bundle.putParcelableArrayList(Ljava/lang/String;Ljava/util/ArrayList;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.util.LongSparseArray.<init>()V	2
cn.amazon.mShop.android	8.5.0.600	android.widget.RadioGroup.check(I)V	10
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FileOptions.access$11602(Lcom/google/protobuf/DescriptorProtos$FileOptions;Z)Z	1
cn.amazon.mShop.android	8.5.0.600	com.android.volley.Cache.put(Ljava/lang/String;Lcom/android/volley/Cache$Entry;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.ViewCompat$ViewCompatImpl.getWindowSystemUiVisibility(Landroid/view/View;)I	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.cast.a.<init>()V	1
cn.amazon.mShop.android	8.5.0.600	android.database.sqlite.SQLiteDatabase.query(Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor;	22
